dataset_code,lake,date_time,reference benchmark,surveying benchmark,lake level(masl),comments
LIMNO_LAKE_LEVELS,Lake Hoare,1/26/08 0:00,BMT13,ROCK,74.32,stream team (stanish)
LIMNO_LAKE_LEVELS,Lake Vanda,1/26/08 0:00,,Astro A 94.52m old datum,92.31,stream team
LIMNO_LAKE_LEVELS,Lake Vida,1/26/08 0:00,,NZBM 350.00m,349.34,stream tean 
LIMNO_LAKE_LEVELS,Lake Fryxell,1/28/08 0:00,BMT9,BMT9,17.49,Stream team (stanish)
LIMNO_LAKE_LEVELS,Lake Hoare,10/29/08 0:00,BMT13,ROCK,74.22,maciek/annika (USGS style)
LIMNO_LAKE_LEVELS,Lake Fryxell,11/8/08 0:00,BMT9,BMT9,17.36,Maciej/Annika
LIMNO_LAKE_LEVELS,Don Juan Pond,11/24/08 0:00,,DVDP pipe 200.00m,198.45,maciek/annika (USGS style)
LIMNO_LAKE_LEVELS,Lake Vanda,11/24/08 0:00,,Astro A 94.52m old datum,92.18,maciej/annika
LIMNO_LAKE_LEVELS,Lake Vida,12/3/08 0:00,,NZBM 350.00m,349.32,Maciek/Annika
LIMNO_LAKE_LEVELS,Lake Bonney,12/14/08 0:00,BMT23,BON-MET,63.34,maciek/leah (old benchmark)
LIMNO_LAKE_LEVELS,Lake Fryxell,1/27/09 0:00,BMT9,BMT9,17.78,Stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/29/09 0:00,BMT20,BON-MET,64,stream team
LIMNO_LAKE_LEVELS,Lake Hoare,1/29/09 0:00,BMT13,ROCK,74.51,stream team (wilson/wright)
LIMNO_LAKE_LEVELS,Lake Fryxell,11/14/09 0:00,BMT9,BMT9,17.72,Maciek/Jim
LIMNO_LAKE_LEVELS,Lake Bonney,11/18/09 0:00,BMT20,medved1,63.87,maciek/paul hanson
LIMNO_LAKE_LEVELS,Lake Hoare,11/25/09 0:00,BMT13,ROCK,74.59,maciek/jim
LIMNO_LAKE_LEVELS,Don Juan Pond,11/30/09 0:00,,DVDP pipe 200.00m,198.41,maciek/jim
LIMNO_LAKE_LEVELS,Lake Vanda,11/30/09 0:00,,Astro A 94.52m old datum,93.08,maciej/jim
LIMNO_LAKE_LEVELS,Lake Vida,11/30/09 0:00,,NZBM 350.00m,349.48,Maciek/Jim
LIMNO_LAKE_LEVELS,Lake Bonney,12/3/09 0:00,BMT20,BON-MET,63.86,maciek/emma?
LIMNO_LAKE_LEVELS,Lake Bonney,1/22/10 0:00,BMT20,medved1,64,stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,10/22/10 0:00,BMT9,BMT9,17.72,Maciek/Joey
LIMNO_LAKE_LEVELS,Lake Hoare,10/29/10 0:00,BMT13,ROCK,74.47,maciek/joey
LIMNO_LAKE_LEVELS,Lake Bonney,11/8/10 0:00,BMT20,medved1,63.94,maciek/hilary
LIMNO_LAKE_LEVELS,Don Juan Pond,11/12/10 0:00,,DVDP pipe 200.00m,198.41,maciek/joey/hilary
LIMNO_LAKE_LEVELS,Lake Vanda,11/12/10 0:00,,Astro A 94.52m old datum,93.08,maciej/joey/hilary
LIMNO_LAKE_LEVELS,Lake Vida,11/25/10 0:00,,NZBM 350.00m,349.41,Maciek/Joey
LIMNO_LAKE_LEVELS,Lake Fryxell,1/1/11 0:00,BMT9,BMT9,18.07,Stream team
LIMNO_LAKE_LEVELS,Lake Hoare,1/27/11 0:00,BMT13,stream team 2011,74.69,stream team - NEW BENCHMARK
LIMNO_LAKE_LEVELS,Lake Bonney,1/28/11 0:00,BMT20,medved1,64.76,Stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,10/24/11 0:00,BMT9,BMT9,18.04,Maciek/Hilary
LIMNO_LAKE_LEVELS,Lake Fryxell,10/24/11 0:00,BMT9,BMT9,18.04,Hilary/Maciek
LIMNO_LAKE_LEVELS,Lake Hoare,11/2/11 0:00,BMT13,ROCK,74.65,maciek/hilary
