Dataset, Plane_Height,Elevation_masl,Depth (0 = bottom of the lake), Area_2D, Volume,VolumeLayer,lake
,,46.63,23.5,641757.3681,7558754.009,64179.1,WLB
,,46.73,23.6,644247.5309,7622933.1,64179.1,WLB
,,46.83,23.7,646737.6938,7687112.191,64179.1,WLB
,,46.93,23.8,649227.8567,7751291.281,64179.1,WLB
,,47.03,23.9,651718.0195,7815470.372,64179.1,WLB
,,47.13,24,654208.1824,7879649.463,64179.1,WLB
,,47.23,24.1,656667.6065,7946298.09,66648.6,WLB
,,47.33,24.2,659127.0306,8012946.718,66648.6,WLB
,,47.43,24.3,661586.4547,8079595.345,66648.6,WLB
,,47.53,24.4,664045.8788,8146243.973,66648.6,WLB
,,47.63,24.5,666505.3029,8212892.601,66648.6,WLB
,,47.73,24.6,668964.7269,8279541.228,66648.6,WLB
,,47.83,24.7,671424.151,8346189.856,66648.6,WLB
,,47.93,24.8,673883.5751,8412838.483,66648.6,WLB
,,48.03,24.9,676342.9992,8479487.111,66648.6,WLB
,,48.13,25,678802.4233,8546135.738,66648.6,WLB
,,48.23,25.1,681355.4105,8615273.675,69137.9,WLB
,,48.33,25.2,683908.3977,8684411.612,69137.9,WLB
,,48.43,25.3,686461.3849,8753549.549,69137.9,WLB
,,48.53,25.4,689014.3721,8822687.486,69137.9,WLB
,,48.63,25.5,691567.3594,8891825.423,69137.9,WLB
,,48.73,25.6,694120.3466,8960963.36,69137.9,WLB
,,48.83,25.7,696673.3338,9030101.297,69137.9,WLB
,,48.93,25.8,699226.321,9099239.234,69137.9,WLB
,,49.03,25.9,701779.3082,9168377.171,69137.9,WLB
,,49.13,26,704332.2954,9237515.108,69137.9,WLB
,,49.23,26.1,706952.6787,9309270.934,71755.8,WLB
,,49.33,26.2,709573.0621,9381026.76,71755.8,WLB
,,49.43,26.3,712193.4454,9452782.587,71755.8,WLB
,,49.53,26.4,714813.8287,9524538.413,71755.8,WLB
,,49.63,26.5,717434.2121,9596294.239,71755.8,WLB
,,49.73,26.6,720054.5954,9668050.065,71755.8,WLB
,,49.83,26.7,722674.9787,9739805.891,71755.8,WLB
,,49.93,26.8,725295.362,9811561.718,71755.8,WLB
,,50.03,26.9,727915.7454,9883317.544,71755.8,WLB
,,50.13,27,730536.1287,9955073.37,71755.8,WLB
,,50.23,27.1,732956.3654,10029347.85,74274.5,WLB
,,50.33,27.2,735376.602,10103622.33,74274.5,WLB
,,50.43,27.3,737796.8387,10177896.81,74274.5,WLB
,,50.53,27.4,740217.0753,10252171.29,74274.5,WLB
,,50.63,27.5,742637.312,10326445.78,74274.5,WLB
,,50.73,27.6,745057.5486,10400720.26,74274.5,WLB
,,50.83,27.7,747477.7853,10474994.74,74274.5,WLB
,,50.93,27.8,749898.0219,10549269.22,74274.5,WLB
,,51.03,27.9,752318.2586,10623543.7,74274.5,WLB
,,51.13,28,754738.4952,10697818.18,74274.5,WLB
,,51.23,28.1,757068.2956,10774460.49,76642.3,WLB
,,51.33,28.2,759398.0959,10851102.8,76642.3,WLB
,,51.43,28.3,761727.8963,10927745.12,76642.3,WLB
,,51.53,28.4,764057.6966,11004387.43,76642.3,WLB
,,51.63,28.5,766387.497,11081029.74,76642.3,WLB
,,51.73,28.6,768717.2974,11157672.05,76642.3,WLB
,,51.83,28.7,771047.0977,11234314.36,76642.3,WLB
,,51.93,28.8,773376.8981,11310956.68,76642.3,WLB
,,52.03,28.9,775706.6984,11387598.99,76642.3,WLB
,,52.13,29,778036.4988,11464241.3,76642.3,WLB
,,52.23,29.1,780286.603,11543172.1,78930.8,WLB
,,52.33,29.2,782536.7072,11622102.9,78930.8,WLB
,,52.43,29.3,784786.8115,11701033.7,78930.8,WLB
,,52.53,29.4,787036.9157,11779964.5,78930.8,WLB
,,52.63,29.5,789287.0199,11858895.31,78930.8,WLB
,,52.73,29.6,791537.1241,11937826.11,78930.8,WLB
,,52.83,29.7,793787.2283,12016756.91,78930.8,WLB
,,52.93,29.8,796037.3326,12095687.71,78930.8,WLB
,,53.03,29.9,798287.4368,12174618.51,78930.8,WLB
,,53.13,30,800537.541,12253549.31,78930.8,WLB
,,53.23,30.1,802778.6854,12334720.85,81171.5,WLB
,,53.33,30.2,805019.8298,12415892.38,81171.5,WLB
,,53.43,30.3,807260.9742,12497063.92,81171.5,WLB
,,53.53,30.4,809502.1186,12578235.45,81171.5,WLB
,,53.63,30.5,811743.2631,12659406.99,81171.5,WLB
,,53.73,30.6,813984.4075,12740578.52,81171.5,WLB
,,53.83,30.7,816225.5519,12821750.06,81171.5,WLB
,,53.93,30.8,818466.6963,12902921.59,81171.5,WLB
,,54.03,30.9,820707.8407,12984093.13,81171.5,WLB
,,54.13,31,822948.9851,13065264.66,81171.5,WLB
,,54.23,31.1,825208.8891,13148688.58,83423.9,WLB
,,54.33,31.2,827468.7931,13232112.5,83423.9,WLB
,,54.43,31.3,829728.6972,13315536.42,83423.9,WLB
,,54.53,31.4,831988.6012,13398960.34,83423.9,WLB
,,54.63,31.5,834248.5052,13482384.26,83423.9,WLB
,,54.73,31.6,836508.4092,13565808.18,83423.9,WLB
,,54.83,31.7,838768.3132,13649232.1,83423.9,WLB
,,54.93,31.8,841028.2173,13732656.02,83423.9,WLB
,,55.03,31.9,843288.1213,13816079.94,83423.9,WLB
,,55.13,32,845548.0253,13899503.86,83423.9,WLB
,,55.23,32.1,847850.4577,13985202.68,85698.8,WLB
,,55.33,32.2,850152.8901,14070901.51,85698.8,WLB
,,55.43,32.3,852455.3225,14156600.33,85698.8,WLB
,,55.53,32.4,854757.7549,14242299.16,85698.8,WLB
,,55.63,32.5,857060.1873,14327997.98,85698.8,WLB
,,55.73,32.6,859362.6197,14413696.8,85698.8,WLB
