location_name,date_time,ice.approx,ice.vol,heat_J,heatIce_J,Area_2D,vol,cum_vol,LL,tempV,tempUse,heatTot_J_m2,heatLake_J_m3,heatIce_J_m3,dec.date,yday
Lake Hoare,1998-12-02,4.803732394366198,8873255.704,5929066705341.769,2667300664622400,2181197.115,11769093.68531,15903915.6248484,73.9,0.13544777323842003,0.1393063063063063,-1220142636.1766748,372805.46786089265,300600000,1998.9178082191781,336
Lake Hoare,1998-12-27,4.784894366197183,8714739.7994,7949910456173.372,2619650783699640,2181197.115,11927609.58991,16062431.5294484,73.9,0.17449570676092088,0.17276785714285714,-1197370405.1242826,494938.1693299819,300600000,1998.986301369863,361
Lake Hoare,2000-11-12,4.725788732394366,8598300.9684,10503320852222.201,2584649271101040,2098164.769,11611999.79701,15746821.736548398,73.71035598705502,0.23022638232016862,0.2218090909090909,-1226855959.2084248,667012.1138060499,300600000,2000.863387978142,317
Lake Hoare,2000-12-09,4.747084507042254,8598300.9684,13157817708710.465,2584649271101040,2098164.769,11611999.79701,15746821.736548398,73.69694444444444,0.28463562284203753,0.26932727272727275,-1225590807.4454613,835585.6139636831,300600000,2000.9371584699454,344
Lake Hoare,2001-11-03,5.032857142857144,9003008.4111,8616534572496.084,2706304328376660,2061061.132,10997475.87741,15132297.816948399,73.60555555555555,0.2003991586102861,0.19896698113207548,-1308882959.326101,569413.494019754,300600000,2001.8383561643836,307
Lake Hoare,2001-11-30,5.39052027027027,9449724.2245,11026297601756.32,2840587101884700,2061061.132,10550760.06401,14685582.003548399,73.6,0.26247677570179734,0.25297087378640776,-1372866025.345503,750824.6931644994,300600000,2001.9123287671232,334
Lake Hoare,2001-12-22,5.291966216216216,9576984.515,13202958235416.95,2878841545209e3,2139289.124,10847245.16281,14982067.102348398,73.775,0.3033491118436973,0.29019047619047617,-1339528423.1686597,881250.7743572595,300600000,2001.972602739726,356
Lake Hoare,2002-11-06,3.8629324324324323,7344344.482000001,20711952523245.613,2207709951289200,2236083.63,13742968.357010001,17877790.2965484,74.09919571045576,0.3785740424505863,0.36467886178861786,-978048392.0299325,1158529.783585413,300599999.99999994,2002.8465753424657,310
Lake Hoare,2003-11-11,3.7709890109890107,7120736.119000001,22168828156214.95,2140493277371400,2213550.867,13742968.357010001,17877790.2965484,74,0.4029241225687107,0.39468428184281845,-956980244.1839187,1240020.5947429086,300599999.99999994,2003.8602739726027,315
Lake Hoare,2004-11-04,3.41,6607718.010500001,19995265778368.434,1986280033956300,2213550.867,14255986.465510001,18390808.4050484,74.0031141868512,0.3528980986647406,0.34648544973544976,-888294367.8826836,1087242.351612972,300599999.99999994,2004.8415300546449,309
Lake Hoare,2004-12-07,3.421848404255319,6435056.3224,23481382912031.23,1934377930513440,2213550.867,14428648.15361,18563470.0931484,74.03066666666666,0.4089045256504199,0.4154468503937008,-863272028.7070813,1264924.219136054,300600000,2004.931693989071,342
Lake Hoare,2004-12-30,3.4301063829787237,6658664.685400001,27698337124612.996,2001594604431240,2236083.63,14428648.15361,18563470.0931484,74.06133333333332,0.4788751068769563,0.4696850393700787,-882747067.6070497,1492088.3318489138,300599999.99999994,2004.9945355191257,365
Lake Hoare,2005-11-17,3.48,6607718.010500001,21249802743785.758,1986280033956300,2213550.867,14255986.465510001,18390808.4050484,74.01518987341773,0.3763386501782961,0.3813769841269841,-887727614.7151283,1155457.7849852727,300599999.99999994,2005.876712328767,321
Lake Hoare,2005-12-11,3.4595820895522387,6658664.685400001,24473263778943.22,2001594604431240,2236083.63,14428648.15361,18563470.0931484,74.07594936708861,0.4249220637705661,0.4306417322834646,-884189354.1576961,1318356.0862349798,300599999.99999994,2005.9424657534246,345
Lake Hoare,2005-12-27,3.456238805970149,6658664.685400001,28178667751731.086,2001594604431240,2236083.63,14428648.15361,18563470.0931484,74.11645569620254,0.4872656960273574,0.4920944881889764,-882532258.723932,1517963.3770160011,300599999.99999994,2005.986301369863,361
Lake Hoare,2006-11-17,3.3193406593406594,6536286.2197,21540632984232.176,1964807637641820,2253501.052,14776376.724510001,18911198.6640484,74.2,0.36732121043005134,0.36959302325581395,-862332415.1248666,1139041.1240923891,300600000,2006.876712328767,321
