location_name,date_time,ice.approx,ice.vol,Area_2D,vol,cum_vol,LL,tempV,tempUse
East Lake Bonney,2015-12-17,3.6950000000000003,13288532.0033,3588579.594,65426278.00088442,65426278.00088449,65.77619047619048,3.262074126720933,2.8258027777777777
East Lake Bonney,2016-11-19,4.040882352941177,14307499.9664,3588579.594,64407310.03778441,64407310.03778449,65.8025974025974,3.2435118073823506,2.7869648760330583
East Lake Bonney,2016-12-21,3.895,13628685.5702,3588579.594,65086124.433984414,65086124.43398449,65.84415584415585,3.2183854801417633,2.781477397260274
East Lake Bonney,2017-11-22,3.9700867052023123,13968336.4661,3588579.594,64746473.53808441,64746473.538084485,65.8,3.183550240904399,2.6653455284552843
East Lake Bonney,2017-12-18,3.99,13968336.4661,3588579.594,64713803.01251995,64746473.538084485,65.8,3.2119797058143686,2.6865338753387533
East Lake Bonney,2018-11-20,4.18,14646158.2534,3588579.594,64035981.22521996,64068651.75078449,65.8,3.141576800525535,2.615042438692098
East Lake Bonney,2018-12-22,3.9793750000000006,13968336.4661,3588579.594,64713803.01251995,64746473.538084485,65.83870967741936,3.106977521812925,2.6180685636856373
East Lake Bonney,2021-12-16,3.720862068965517,13326018.238000002,3599006.407,66075403.25391995,66108073.77948449,65.96206896551725,3.0267285192868316,2.583367292225201
East Lake Bonney,2022-11-29,3.52,12642305.503000002,3599006.407,66759115.98891995,66791786.514484495,66.00185185185185,3.1092908919414333,2.62386
East Lake Bonney,2022-12-19,3.184772727272727,11269045.838000003,3599006.407,68132375.65392,68165046.1794845,66.03888888888889,2.916111701851013,2.526411609498681
East Lake Bonney,2023-11-22,3.3,11596756.197300002,3593813.726,67444764.65391995,67477435.1794845,65.9,3.0778979859073643,2.6530464190981435
Lake Fryxell,1995-10-15,4.1452028639618135,25705080.219099995,7104786.76,26357788.38038002,29084742.185916435,17.36379781420765,1.8485104604476699,2.2135694444444445
Lake Fryxell,1995-12-28,4.113589498806682,25705080.219099995,7104786.76,26357788.38038002,29084742.185916435,17.353688524590165,2.0397649609153428,2.3297268518518517
Lake Fryxell,1996-11-09,3.89,23929929.886299994,7066350.548,27422460.037180014,30149413.842716437,17.310382513661203,1.752293471023861,2.104250826446281
Lake Fryxell,1996-11-20,4.065,24994601.543099996,7066350.548,26357788.38038002,29084742.185916435,17.308879781420764,1.8261848743010467,2.1635555555555555
Lake Fryxell,1997-11-19,3.631,22684905.007099994,7028637.373,27960849.86158002,30687803.667116437,17.2,1.4582389365027573,1.8834009009009007
Lake Fryxell,1998-10-29,4.322617502458211,26356287.244,7028637.373,24289467.624680012,27016421.43021643,17.2,1.421704477761252,1.788043269230769
Lake Fryxell,1998-11-24,4.34907677356657,26356287.244,7028637.373,24289467.624680012,27016421.43021643,17.2,1.3830464736037362,1.7495240384615387
Lake Fryxell,1998-12-21,4.400767735665696,26857295.2253,7028637.373,23788459.643380016,26515413.44891643,17.2,1.505728156032882,1.8359466019417476
Lake Fryxell,1999-10-31,4.988833333333333,29192042.7437,7028637.373,21453712.124980025,24180665.93051643,17.2,1.5754243011517173,1.8282857142857143
Lake Fryxell,1999-12-24,4.665,27593237.164300002,6990987.794,22349653.96708002,25076607.77261643,17.143243243243244,1.3301751849739514,1.6363
Lake Fryxell,2000-12-04,4.515162138475022,26653202.78240001,6912865.189,21895353.04848002,24622306.85401643,16.899186991869918,1.2335535567571698,1.533888888888889
Lake Fryxell,2001-10-26,5.07925925925926,28407189.83830001,6872099.966,19450079.47368002,22177033.27921643,16.810840108401084,1.2799748789681133,1.5451505376344086
Lake Fryxell,2001-11-25,4.91375,28034402.95590001,6872099.966,19822866.356080018,22549820.16161643,16.80271002710027,1.2283249481888685,1.501531914893617
Lake Fryxell,2001-12-20,4.901460036330609,27938670.092200007,6912865.189,20609885.73868002,23336839.54421643,16.925,1.3367793334513631,1.582833333333333
Lake Fryxell,2002-10-31,4.746606494096276,28535534.6256,7066350.548,22816855.297880016,25543809.10341643,17.303367003367004,1.2227035400271409,1.477128712871287
Lake Fryxell,2002-11-30,4.735855327468231,28766060.269199997,7104786.76,23296808.330280013,26023762.135816433,17.374074074074073,1.1661318902838531,1.4345931372549021
Lake Fryxell,2003-11-04,5.021153846153846,29898677.7985,7066350.548,21453712.124980025,24180665.93051643,17.313402061855673,1.308595079008057,1.5228877551020408
Lake Fryxell,2003-11-30,5.050963855421687,29898677.7985,7066350.548,21453712.124980025,24180665.93051643,17.32,1.3688537909324867,1.5681275510204082
Lake Fryxell,2004-10-30,5.347625329815303,31143238.6631,7066350.548,20209151.260380015,22936105.06591643,17.3072131147541,1.3566515613073562,1.5495368421052633
Lake Fryxell,2004-12-02,5.321503957783641,30742504.1848,7066350.548,20609885.73868002,23336839.54421643,17.326190476190476,1.4031035835565226,1.5881354166666666
