location_name,date_time,ice.approx,heat_J,heatIce_J,Area_2D,vol,LL,tempV,tempUse,heatTot_J_m2,dec.date,yday
Lake Hoare,2022-11-18,-3.0525,42559796869535.484,1887784599282300.2,2339743.965,17106915.12351,75.20151515151515,0.6144743080156945,0.5904401408450705,-788643898.6552808,2022.8794520547945,322
West Lake Bonney,1993-12-09,-3.2,335942769320648.7,951785829364500.1,1035332.452,17517908.5842974,62.35290322580645,0.7138457279420376,-0.6860014619883041,-594826385.3356463,1993.9369863013699,343
West Lake Bonney,1995-10-18,-3.549731420161884,317962811628273.25,1033590174810138.1,1032117.89,17135779.977313,62.3,0.30632732503015514,-0.9143610271903323,-693358162.0040176,1995.7945205479452,291
West Lake Bonney,1996-11-06,-3.6021412803532007,310491447841483.56,1061624682486288.1,1032117.89,17048976.6261174,62.3,0.3050720763355372,-0.9554302670623145,-727759146.4331701,1996.8469945355191,311
West Lake Bonney,1996-11-25,-3.6047277409860192,314040811012156.44,1061624682486288.1,1032117.89,17048976.6261174,62.3,0.40845979940628646,-0.8764347181008902,-724320233.8776743,1996.8989071038252,330
West Lake Bonney,1997-11-10,-3.7225675675675673,299545387116591.8,1089580349338524.1,1032117.89,16955977.0690574,62.3,0.2195009138036834,-0.9898809523809524,-765450313.2601763,1997.8575342465754,314
West Lake Bonney,1997-12-03,-3.6967499999999998,304573006134094.2,1061624682486288.1,1032117.89,17048976.6261174,62.3,0.2649775972058142,-0.9530600890207716,-733493415.5168979,1997.9205479452055,337
West Lake Bonney,1997-12-07,-3.5980676470588233,306130754995872,1033590174810138.1,1032117.89,17142238.461367402,62.3,0.2631858686628107,-0.9595458579881657,-704822023.5909932,1997.9315068493152,341
West Lake Bonney,1998-11-12,-3.9568312757201647,293222009234026.7,1138660310719296,1025903.888,16586601.6227374,62.108333333333334,0.08097708669960758,-1.0953237951807229,-824091136.9713702,1998.86301369863,316
West Lake Bonney,1998-12-10,-3.8746879174256224,302049869533302.2,1111020007165722.1,1025903.888,16678552.067027401,62.1241935483871,0.16921128232446836,-1.0317897897897899,-788543787.6734316,1998.9397260273972,344
West Lake Bonney,1999-11-12,-3.9157131147540984,285499513124032.5,1138660310719296,1025903.888,16586601.6227374,62.1,0.135969387011468,-1.017328313253012,-831618641.4484701,1999.86301369863,316
West Lake Bonney,2000-10-31,-3.959875,287961795899639.94,1132122034466694,1019905.011,16403471.5417074,61.918412698412695,-0.0028124377250047954,-1.1369742424242424,-827685156.4238995,2000.8306010928961,305
West Lake Bonney,2000-11-30,-3.92,291030658824395.6,1070895508341714.1,1013906.133,16403471.5417074,61.899731903485254,0.14237204818114593,-1.020510606060606,-769168687.4502006,2000.9125683060108,335
West Lake Bonney,2001-11-10,-4.059299191374663,284753143749003.5,1004277223648584.1,1001908.378,16221326.4653574,61.80723860589812,-0.051078433369943,-1.1696204268292683,-718153571.4232551,2001.8575342465754,314
