specCond,pred,location_name
35,26.294390631787152,West Lake Bonney
35.1,26.402495434762482,West Lake Bonney
35.2,26.510853506429605,West Lake Bonney
35.300000000000004,26.619465212612674,West Lake Bonney
35.4,26.728330919135914,West Lake Bonney
35.5,26.837450991823616,West Lake Bonney
35.6,26.946825796499937,West Lake Bonney
35.7,27.05645569898913,West Lake Bonney
35.800000000000004,27.166341065115397,West Lake Bonney
35.9,27.27648226070293,West Lake Bonney
36,27.38687965157601,West Lake Bonney
36.1,27.49753360355882,West Lake Bonney
36.2,27.608444482475576,West Lake Bonney
36.300000000000004,27.71961265415053,West Lake Bonney
36.4,27.831038484407852,West Lake Bonney
36.5,27.94272233907182,West Lake Bonney
36.6,28.054664583966613,West Lake Bonney
36.7,28.166865584916465,West Lake Bonney
36.800000000000004,28.27932570774558,West Lake Bonney
36.9,28.3920453182782,West Lake Bonney
37,28.505024782338534,West Lake Bonney
37.1,28.618264465750812,West Lake Bonney
37.2,28.73176473433925,West Lake Bonney
37.300000000000004,28.845525953928046,West Lake Bonney
37.4,28.95954849034146,West Lake Bonney
37.5,29.073832709403668,West Lake Bonney
37.6,29.18837897693893,West Lake Bonney
37.7,29.303187658767193,West Lake Bonney
37.800000000000004,29.418259115113337,West Lake Bonney
37.9,29.533593689589203,West Lake Bonney
38,29.649191722737534,West Lake Bonney
38.1,29.765053555101005,West Lake Bonney
38.2,29.8811795272224,West Lake Bonney
38.300000000000004,29.997569979644368,West Lake Bonney
38.400000000000006,30.11422525290962,West Lake Bonney
38.5,30.231145687560918,West Lake Bonney
38.6,30.348331624140947,West Lake Bonney
38.7,30.465783403192436,West Lake Bonney
38.800000000000004,30.583501365258087,West Lake Bonney
38.900000000000006,30.70148585088063,West Lake Bonney
39,30.81973720060276,West Lake Bonney
39.1,30.93825575496718,West Lake Bonney
39.2,31.057041854516665,West Lake Bonney
39.300000000000004,31.17609583979387,West Lake Bonney
39.400000000000006,31.295418051341528,West Lake Bonney
39.5,31.415008829702348,West Lake Bonney
39.6,31.534868515419056,West Lake Bonney
39.7,31.65499744903437,West Lake Bonney
